modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
SY,model name,AmpaNmda.synapse.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
SY,model name,FI.synapse.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,kamt.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,kdrmt.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,nax__sh15.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,pas.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,Granule_0_110821.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh15.channel.nml,pas.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,nax__sh0.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,nax__sh10.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,Mitral_0_0.cell.nml,"kamt.channel.nml,kdrmt.channel.nml,nax__sh0.channel.nml,nax__sh10.channel.nml,pas.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
NT,model name,Bulb_1MC_1GC.net.nml,"AmpaNmda.synapse.nml,FI.synapse.nml,Granule_0_110821.cell.nml,Mitral_0_0.cell.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
