modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
XX,model name,Ca.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,IM.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,Kd.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,Leak.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,Na.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,FS.cell.nml,"IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,IL.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,IB.cell.nml,"Ca.nml,IL.channel.nml,IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,IBR.cell.nml,"Ca.nml,IL.channel.nml,IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CH,model name,IT.channel.nml,,referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,LTS.cell.nml,"Ca.nml,IM.channel.nml,IT.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
CL,model name,RS.cell.nml,"IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
NT,model name,FiveCells.net.nml,"Ca.nml,FS.cell.nml,IB.cell.nml,IBR.cell.nml,IL.channel.nml,IM.channel.nml,IT.channel.nml,Kd.channel.nml,LTS.cell.nml,Leak.channel.nml,Na.channel.nml,RS.cell.nml",referenses,neurolexTerm,neurolexURI,keywords,pubmedID,translators,
