modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
SY,Model Name,Syn_AMPA_L4SS_IN.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L4SS_L4SS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L4SS_Pyr.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_DeepFS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_DeepLTS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_L4SS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_L5Pyr.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_L6NT.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_SupFS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_SupLTS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5IB_SupPyr.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5RS_DeepFS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
SY,Model Name,Syn_AMPA_L5RS_DeepLTS.synapse.nml,,"(OpenSourceBrain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",neurolexTerm,neurolexURI,keywords,15525801,"Chaitanya Chintaluri,Daniel Wójcik,Eugenio Piasini,Helena Głąbska,Jacek Rogala,Michael Hines,Padraig Gleeson,Rokas Stanislovas,Subhasis Ray,Tomás Fernández Alfonso,Yates Buckley,Angus Silver",
