,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike
NMLCL000001,74.860976000059,72.4705399999769,1.8724453665106744,-2.12256550389592,1.8028672589117576,1.0606056675400823,1.0606056675400823,0.0,1.5921685517069584,1.6512956360018183,-4.751146670729419,-4.641740829020642,-3.221691544181582,3.1631502212175038,3.096334245970263,-2.8057467891658705,2.539561010500309,3.7493295124597608,0.0,0.0,1.5192958399273588,2.8293168330960214,0.0,0.0,3.467667525078126,2.608865172257419,0.0,0.0,-3.57142857142857,-3.57142857142857,-0.2283969444516758,-11.300595234775,3.4943140974200064,3.5443662963193043,5.400997901013842,3.0058323695595464,1.9104994542696934,3.2237077132554894,0.0,4.216192878969989,4.228597764134417,8.487738058205974
NMLCL000002,42.8901563635424,0.0,4.6027495655523865,-5.4435361324737785,4.6027495655523865,0.33033878684372187,0.0,-5.4435361324737785,1.0115880388683454,0.0,-4.853374386844662,0.0,-5.4435361324737785,-1.133782018090976,0.0,-5.4435361324737785,1.539253649379135,8.435151988079907,0.0,0.0,0.8869042271886463,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,-100.0,-100.0,-1.1947054951603389,-100.0,8.435151988079907,8.435151988079907,0.0,0.0,0.7660688243043056,9.192641348570753,0.0,4.216192878969989,5.799909457150003,7.872486325702252
NMLCL000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,0.0,-1.1947054951603389,-100.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,7.060420676585533,0.0,4.216192878969989,5.799909457150003,9.351312451405265
NMLCL000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,0.0,-1.1947054951603389,-100.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,7.060420676585533,3.354490745440121,4.216192878969989,5.799909457150003,9.351312451405265
NMLCL000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,0.0,-1.1947054951603389,-100.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,7.060420676585533,0.0,4.216192878969989,5.799909457150003,9.351312451405265
NMLCL000073,72.0216099998842,72.4000247633317,-0.6266505612482721,0.792911262792685,2.471638152730386,0.7767152131210331,0.7767152131210331,-5.0182080713055813e-14,2.064927869793323,2.0620032877986256,-4.20251171777442,-4.216058570153176,1.432268818378073,3.4678492053708774,3.504206942930759,2.2823978150657895,4.015592352400677,4.442360331234491,0.0,0.0,2.85879261653214,3.4875767532840225,0.0,0.0,3.6214662964985247,2.8796966758632023,0.0,0.0,-20.0,-20.0,-0.14843108794487958,-96.6478983683845,5.177775838451645,5.605388790927878,2.108681105708865,4.684225903687088,3.663373230944723,4.451863894533649,0.0,4.42324793786333,5.799909457150003,8.4780251457744
NMLCL000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,0.0,-1.1947054951603389,-100.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,7.060420676585533,2.323400932307721,4.216192878969989,5.799909457150003,9.351312451405265
NMLCL000086,78.1888979977741,76.4299956834193,1.6193926166437467,-1.8212845729928655,2.0997646009134856,0.3628993371486779,0.34675157982195864,-2.574051531400938,2.5304356847910134,2.454270682695957,-3.888014093393259,-3.9842425119203675,3.2086222980546086,4.110692627898424,4.2296519648453,3.4200871041035117,2.927659664210191,5.644950059928864,0.0,0.0,1.9827972623603738,3.956145954119534,0.0,0.0,5.619891937140766,4.356688857259432,2.8421709430404e-14,0.0,-25.0,0.0,0.0,-7.51098012115657,3.964637919269066,5.6581316295640836,4.844775110081217,2.9767832248525137,3.9220837757272085,1.2888236570715597,0.0,4.216192878969989,5.799909457150003,8.620627522021147
NMLCL000087,84.288880001236,80.8812466595323,2.180006687445169,-2.3330073544070125,2.146751562966815,0.6996944006621268,0.6996944006621268,0.0,2.216392662394431,2.2387300075944156,-4.280392030937572,-4.235273592277321,-2.4248518389498654,4.093040524138014,4.136403415844299,2.431638071096599,3.3358203028111064,4.890403247433973,0.0,0.0,2.498771524154938,4.211083753262204,0.0,0.0,5.869615852874432,4.135935813588425,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.2159153640275707,-82.6015798891552,3.1791303340432004,6.400769871844752,2.14676386158737,6.99446826891598,3.0239295911433532,7.855117846144215,0.0,4.216192878969989,4.974371381565146,8.49985345135326
NMLCL000088,84.454780001226,81.18157000435,2.1443914126534187,-2.2949679581189844,2.209753202434344,0.6881906924417446,0.6996944006621268,1.8492181179241067,2.2037639820777533,2.2213998149187932,-4.29976443761313,-4.252320912221913,-2.4694523240211965,4.10963067120532,4.116764687011233,0.9843424174686947,3.3142861214788444,4.884151522451485,0.0,0.0,2.479666171603678,4.2049181454506,0.0,0.0,5.87719487115812,4.135015064067928,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.21465449733855113,-82.6256449455452,3.1791303340432004,6.400062379108567,2.146439303332354,7.008365682138453,3.0239295911433532,7.876272734030766,0.0,4.216192878969989,4.9686292728354555,8.499769104858155
