,Model_ID,Name
0,NMLCL000001,CA1 Pyramidal Cell
1,NMLCL000002,Granule Cell
2,NMLCL000003,Granule Input Mossy Fiber
3,NMLCL000004,Golgi Cell
4,NMLCL000005,Purkinje Cell
5,NMLCL000073,Layer 5b Pyramidal cell 
6,NMLCL000085,Golgi Cell
7,NMLCL000086,Izhikevich Tonic Spiking
8,NMLCL000087,Layer 2/3 Burst Accommodating Bipolar Cell (1)
9,NMLCL000088,Layer 2/3 Burst Accommodating Bipolar Cell (2)
10,NMLCL000089,Layer 2/3 Burst Accommodating Bipolar Cell (3)
11,NMLCL000090,Layer 2/3 Burst Accommodating Bipolar Cell (4)
12,NMLCL000091,Layer 2/3 Burst Accommodating Bipolar Cell (5)
13,NMLCL000092,Layer 2/3 Burst Accommodating Bitufted Cell (1)
14,NMLCL000093,Layer 2/3 Burst Accommodating Bitufted Cell (2)
15,NMLCL000094,Layer 2/3 Burst Accommodating Bitufted Cell (3)
16,NMLCL000095,Layer 2/3 Burst Accommodating Bitufted Cell (4)
17,NMLCL000096,Layer 2/3 Burst Accommodating Bitufted Cell (5)
18,NMLCL000097,Layer 2/3 Burst Accommodating Double Bouquet Cell (1)
19,NMLCL000098,Layer 2/3 Burst Accommodating Double Bouquet Cell (2)
20,NMLCL000099,Layer 2/3 Burst Accommodating Double Bouquet Cell (3)
21,NMLCL000100,Layer 2/3 Burst Accommodating Double Bouquet Cell (4)
22,NMLCL000101,Layer 2/3 Burst Accommodating Double Bouquet Cell (5)
23,NMLCL000102,Layer 2/3 Burst Accommodating Large Basket Cell (1)
24,NMLCL000103,Layer 2/3 Burst Accommodating Large Basket Cell (2)
25,NMLCL000104,Layer 2/3 Burst Accommodating Large Basket Cell (3)
26,NMLCL000105,Layer 2/3 Burst Accommodating Large Basket Cell (4)
27,NMLCL000106,Layer 2/3 Burst Accommodating Large Basket Cell (5)
28,NMLCL000107,Layer 2/3 Burst Accommodating Martinotti Cell (1)
29,NMLCL000108,Layer 2/3 Burst Accommodating Martinotti Cell (2)
30,NMLCL000109,Layer 2/3 Burst Accommodating Martinotti Cell (3)
31,NMLCL000110,Layer 2/3 Burst Accommodating Martinotti Cell (4)
32,NMLCL000111,Layer 2/3 Burst Accommodating Martinotti Cell (5)
33,NMLCL000112,Layer 2/3 Burst Accommodating Nest Basket Cell (1)
34,NMLCL000113,Layer 2/3 Burst Accommodating Nest Basket Cell (2)
35,NMLCL000114,Layer 2/3 Burst Accommodating Nest Basket Cell (3)
36,NMLCL000115,Layer 2/3 Burst Accommodating Nest Basket Cell (4)
37,NMLCL000116,Layer 2/3 Burst Accommodating Nest Basket Cell (5)
38,NMLCL000117,Layer 4 Burst Accommodating Bipolar Cell (1)
39,NMLCL000118,Layer 4 Burst Accommodating Bipolar Cell (2)
40,NMLCL000119,Layer 4 Burst Accommodating Bipolar Cell (3)
41,NMLCL000120,Layer 4 Burst Accommodating Bipolar Cell (4)
42,NMLCL000121,Layer 4 Burst Accommodating Bipolar Cell (5)
43,NMLCL000122,Layer 4 Burst Accommodating Bitufted Cell (1)
44,NMLCL000123,Layer 4 Burst Accommodating Bitufted Cell (2)
45,NMLCL000124,Layer 4 Burst Accommodating Bitufted Cell (3)
46,NMLCL000125,Layer 4 Burst Accommodating Bitufted Cell (4)
47,NMLCL000126,Layer 4 Burst Accommodating Bitufted Cell (5)
48,NMLCL000127,Layer 4 Burst Accommodating Double Bouquet Cell (1)
