modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
CH,Cortical M Current,IM.channel.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"Potassium, noninactivating, IM",7903176,Justas Birgiolas,
CH,Fast Potassium Current,Kd.channel.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,Kd,19011929,Justas Birgiolas,
CH,Passive,Leak.channel.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,,19011929,Justas Birgiolas,
CH,Fast Sodium Current,Na.channel.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,,19011929,Justas Birgiolas,
CH,High Threshold Calcium Current,IL.channel.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"L-type, IL",8229187,Justas Birgiolas,
CH,Low Threshold Calcium Current,IT.channel.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,IT,8890314,Justas Birgiolas,
CN,Calcium Concentration,Ca.nml,,"(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,,19011929,Justas Birgiolas,
DO THESE SEPARATELLY,,,,,,,,,,
CL,Fast Spiking (FS),FS.cell.nml,"IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml","(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"neocortex, minimal models",19011929,Justas Birgiolas,
CL,Intrinsically Bursting (IB),IB.cell.nml,"Ca.nml,IL.channel.nml,IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml","(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"neocortex, minimal models",19011929,Justas Birgiolas,
CL,Intrinsically Repetitive Bursting (IBR),IBR.cell.nml,"Ca.nml,IL.channel.nml,IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml","(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"neocortex, minimal models",19011929,Justas Birgiolas,
CL,Low Threshold Spiking (LTS),LTS.cell.nml,"Ca.nml,IM.channel.nml,IT.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml","(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"thalamus, minimal models",19011929,Justas Birgiolas,
CL,Regular Spiking (RS),RS.cell.nml,"IM.channel.nml,Kd.channel.nml,Leak.channel.nml,Na.channel.nml","(Open Source Brain, http://opensourcebrain.org/projects/pospischiletal2008),(ModelDB,https://senselab.med.yale.edu/modeldb/ShowModel.cshtml?model=123623)",,,"neocortex, minimal models",19011929,Justas Birgiolas,
