modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
SY,Syn_AMPA_L4SS_IN,Syn_AMPA_L4SS_IN.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L4SS_L4SS,Syn_AMPA_L4SS_L4SS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L4SS_Pyr,Syn_AMPA_L4SS_Pyr.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_DeepFS,Syn_AMPA_L5IB_DeepFS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_DeepLTS,Syn_AMPA_L5IB_DeepLTS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_L4SS,Syn_AMPA_L5IB_L4SS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_L5Pyr,Syn_AMPA_L5IB_L5Pyr.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_L6NT,Syn_AMPA_L5IB_L6NT.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_SupFS,Syn_AMPA_L5IB_SupFS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_SupLTS,Syn_AMPA_L5IB_SupLTS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5IB_SupPyr,Syn_AMPA_L5IB_SupPyr.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_DeepFS,Syn_AMPA_L5RS_DeepFS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_DeepLTS,Syn_AMPA_L5RS_DeepLTS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_L4SS,Syn_AMPA_L5RS_L4SS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_L5Pyr,Syn_AMPA_L5RS_L5Pyr.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_L6NT,Syn_AMPA_L5RS_L6NT.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_SupFS,Syn_AMPA_L5RS_SupFS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_SupLTS,Syn_AMPA_L5RS_SupLTS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L5RS_SupPyr,Syn_AMPA_L5RS_SupPyr.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L6NT_DeepFS,Syn_AMPA_L6NT_DeepFS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L6NT_DeepLTS,Syn_AMPA_L6NT_DeepLTS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L6NT_L4SS,Syn_AMPA_L6NT_L4SS.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L6NT_L5Pyr,Syn_AMPA_L6NT_L5Pyr.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L6NT_L6NT,Syn_AMPA_L6NT_L6NT.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
SY,Syn_AMPA_L6NT_nRT,Syn_AMPA_L6NT_nRT.synapse.nml,,"(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,alpha,15525801,Padraig Gleeson,
