modelType,modelName,fileName,children,references,neurolexTerm,neurolexURI,keywords,pubmedID,translators,authors
CL,Deep Axoaxonic,DeepAxAx.cell.nml,"ar__m00_25.channel.nml,cad__beta0_02__phi260000.nml,cad__beta0_05__phi520000.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp_slower.channel.nml,kc_fast.channel.nml,kdr_fs.channel.nml,km.channel.nml,naf2__a0__b0__c0__d0__fastNa_shiftmin2_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Deep Basket,DeepBasket.cell.nml,"ar__m00_25.channel.nml,cad__beta0_02__phi260000.nml,cad__beta0_05__phi520000.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp_slower.channel.nml,kc_fast.channel.nml,kdr_fs.channel.nml,km.channel.nml,naf2__a0__b0__c0__d0__fastNa_shiftmin2_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex basket cell,nifext_56,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Deep Low Threshold Spiking (LTS) Interneuron,DeepLTSInter.cell.nml,"ar__m00_25.channel.nml,cad__beta0_02__phi260000.nml,cad__beta0_05__phi520000.nml,cal.channel.nml,cat_a.channel.nml,k2.channel.nml,ka.channel.nml,kahp_slower.channel.nml,kc_fast.channel.nml,kdr_fs.channel.nml,km.channel.nml,naf2__a0__b0__c0__d0__fastNa_shiftmin2_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",,,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Superficial Layer 2/3 Fast Rhythmic Bursting (FRB) Pyramidal,L23PyrFRB_varInit.cell.nml,"ar__m00_25.channel.nml,cad__beta0_01__phi26000.nml,cad__beta0_05__phi52000.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp.channel.nml,kc.channel.nml,kdr.channel.nml,km.channel.nml,naf__a0__b0__c0__d0__fastNa_shiftmin3_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex pyramidal layer 2-3 cell,nifext_49,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Superficial Layer 2/3 Regular Spiking (RS) Pyramidal,L23PyrRS.cell.nml,"ar__m00_25.channel.nml,cad__beta0_01__phi26000.nml,cad__beta0_05__phi52000.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp.channel.nml,kc.channel.nml,kdr.channel.nml,km.channel.nml,naf__a0__b0__c0__d0__fastNa_shiftmin3_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex pyramidal layer 2-3 cell,nifext_49,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Layer 4 Spiny Stellate,L4SpinyStellate.cell.nml,"ar__m00.channel.nml,cad__beta0_02__phi260000.nml,cad__beta0_05__phi260000.nml,cal.channel.nml,cat_a.channel.nml,k2.channel.nml,ka.channel.nml,kahp_slower.channel.nml,kc_fast.channel.nml,kdr_fs.channel.nml,km.channel.nml,naf2__a0__b0__c0__d0__fastNa_shiftmin2_5.channel.nml,napf_spinstell__a0__b0__c0__d0__shmin2_5.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex pyramidal cell,sao2128417084,"multiple bursts,recurrent synaptic excitation,muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Layer 5 Tufted Intrinsic Bursting (IB) Pyramidal,L5TuftedPyrIB.cell.nml,"ar__m00_25.channel.nml,cad__beta0_01__phi4333_33.nml,cad__beta0_02__phi86666_7.nml,cad__beta0_075__phi86666_7.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka_ib.channel.nml,kahp_deeppyr.channel.nml,kc.channel.nml,kdr.channel.nml,km.channel.nml,naf__a0__b0__c0__d0__fastNa_shiftmin3_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex pyramidal cell,sao2128417084,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Layer 5 Tufted Regular Spiking (RS) Pyramidal,L5TuftedPyrRS.cell.nml,"ar__m00_25.channel.nml,cad__beta0_01__phi4333_33.nml,cad__beta0_02__phi86666_7.nml,cad__beta0_075__phi86666_7.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp_deeppyr.channel.nml,kc.channel.nml,kdr.channel.nml,km.channel.nml,naf__a0__b0__c0__d0__fastNa_shiftmin3_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex pyramidal cell,sao2128417084,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Layer 6 Nontufted Regular Spiking (RS) Pyramidal,L6NonTuftedPyrRS.cell.nml,"ar__m00_25.channel.nml,cad__beta0_01__phi13000.nml,cad__beta0_05__phi65000.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp_deeppyr.channel.nml,kc.channel.nml,kdr.channel.nml,km.channel.nml,naf__a0__b0__c0__d0__fastNa_shiftmin3_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex pyramidal cell,sao2128417084,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
CL,Superficial Axoaxonic (Chandelier),SupAxAx.cell.nml,"ar__m00_25.channel.nml,cad__beta0_02__phi260000.nml,cad__beta0_05__phi520000.nml,cal.channel.nml,cat.channel.nml,k2.channel.nml,ka.channel.nml,kahp_slower.channel.nml,kc_fast.channel.nml,kdr_fs.channel.nml,km.channel.nml,naf2__a0__b0__c0__d0__fastNa_shiftmin2_5.channel.nml,nap.channel.nml,pas.channel.nml","(Open Source Brain,http://www.opensourcebrain.org/projects/thalamocortical),(ModelDB,https://senselab.med.yale.edu/ModelDB/showmodel.cshtml?model=45539)",Neocortex chandelier cell,nifext_57,"muticompartment,soma,dendrites,axon,kainate,persistent gamma oscillations,thalamocortical sleep spindles,synchronized population bursts,electrographic seizures,isolated double population bursts with superimposed very fast oscillations,spike-wave,polyspike-wave,fast runs,epileptiform bursts,Electrical coupling",15525801,Padraig Gleeson,
