Row,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,PCA1_Cluster,Cluster
0,74.860976,72.47054,2.516924885,3.330235048,3.148977617,-0.186329578,-0.186329578,0,0.993251773,1.040276712,3.928308035,3.820188317,4.60062304,9.834584,9.170878823,4.89560487,2.036011984,3.228826156,0,0,1.153731588,2.371177884,0,0,2.806083941,2.086293017,0,0,-3.571428571,-3.571428571,-0.111433029,-11.30059523,13.86602232,2.90526037,4.572825654,5.331060782,1.252762968,3.019236693,0,A
1,42.89015636,0,3.968217241,4.826325701,4.158911154,-1.714798428,-4.605170186,-100,0.565313809,0,4.029453464,0,2.302585093,-0.915226364,0,3.700055262,1.430311247,7.604510941,0,0,0.806475866,7.602795666,0,0,7.602428794,7.602196622,0,0,-100,-100,-1,-100,2000,7.602735778,0,5.289868312,0.405465108,8.36084835,1,B
2,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
3,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
4,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
5,72.02161,72.40002476,2.264009037,3.187439808,3.251156636,-0.653926467,-0.653926467,-2.18E-14,1.383791231,1.381281819,3.387775943,3.401065606,4.7129892,13.49253,14.00819524,4.971696226,3.267284964,3.777348102,0,0,2.170195905,2.865623588,0,0,2.937043277,2.291524146,0,0,-20,-20,-0.069492703,-96.64789837,76.56093255,4.798390469,1.421456353,5.500789408,2.862200881,3.846361596,0,A
6,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
7,78.188898,76.42999568,2.464610597,3.295884915,3.187303984,-1.609437912,-1.660731207,-5.263157895,1.795087259,1.726331664,3.080316602,3.174157653,4.79009095,26.0528691,29.39883667,5.032348059,2.329227024,4.864761378,0,0,1.467874348,3.260017768,0,0,4.807498598,3.584351925,2.84E-14,0,-25,0,0,-7.510980121,22.45353976,4.849762069,4.02094107,5.329844441,3.113515309,2.410681354,0,A
8,84.28888,80.88124666,2.595824197,3.360185969,3.194321246,-0.798507696,-0.798507696,0,1.515127233,1.534714366,3.464223293,3.41992164,4.658962349,25.58941742,26.74270506,4.976433232,2.664446564,4.167595024,0,0,1.867176109,3.48553853,0,0,5.052480765,3.378269877,2.84E-14,0,-33.33333333,-33.33333333,-0.10466382,-82.60157989,10,5.579031469,1.454423998,6.509540052,2.251291799,7.029589971,0,A
9,84.45478,81.18157,2.585747718,3.354365617,3.204179329,-0.820980552,-0.798507696,2.325581395,1.504077397,1.519513205,3.483255953,3.436656089,4.65683889,26.02475581,26.21419,4.950017536,2.646174797,4.162003211,0,0,1.85159947,3.480008562,0,0,5.059933266,3.377416853,2.84E-14,0,-33.33333333,-33.33333333,-0.103984693,-82.62564495,10,5.578332624,1.454142324,6.519362203,2.251291799,7.050567575,0,A
